Date,Sales,year,quarter,month,week_of_year,is_q4,sin_week,cos_week,sin_month,cos_month,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_4,sales_lag_8,sales_lag_12,sales_lag_52,sales_rolling_mean_4,sales_rolling_std_4,sales_rolling_min_4,sales_rolling_max_4,sales_rolling_mean_12,sales_rolling_std_12,orders_lag_1,quantity_lag_1,profit_lag_1,avg_discount_lag_1,log_sales
2015-01-04,13462.7946,2015,1,1,1,0,0.1201,0.9928,0.5,0.866,12431.376,18036.827,16064.3225,13515.078,14572.967,4617.902,324.044,15011.9,2527.01,12431.38,18036.83,13978.63,6029.98,32.0,246.0,881.74,0.1746,9.5078
2015-01-11,1708.984,2015,1,1,2,0,0.2385,0.9711,0.5,0.866,13462.7946,12431.376,18036.827,16064.3225,15343.3457,11050.8,4599.572,14998.83,2537.45,12431.38,18036.83,14715.7,5275.08,27.0,243.0,12.64,0.1659,7.4442
2015-01-18,1827.276,2015,1,1,3,0,0.3535,0.9355,0.5,0.866,1708.984,13462.7946,12431.376,18036.827,26800.975,3689.766,4509.127,11410.0,6910.9,1708.98,18036.83,13937.22,6428.36,6.0,44.0,-171.82,0.1462,7.5111
2015-01-25,358.522,2015,1,1,4,0,0.4633,0.8862,0.5,0.866,1827.276,1708.984,13462.7946,12431.376,15052.979,16567.19,3842.388,7357.61,6468.07,1708.98,13462.79,13782.01,6714.39,7.0,51.0,-76.94,0.2,5.8848
2015-02-01,10314.516,2015,1,2,5,0,0.5664,0.8241,0.866,0.5,358.522,1827.276,1708.984,13462.7946,13515.078,14572.967,1642.31,4339.39,6118.65,358.52,13462.79,12431.29,7666.05,3.0,15.0,1.23,0.16,9.2414
2015-02-08,3378.582,2015,1,2,6,0,0.6613,0.7501,0.866,0.5,10314.516,358.522,1827.276,1708.984,16064.3225,15343.3457,756.888,3552.32,4557.09,358.52,10314.52,12076.42,7656.46,7.0,56.0,-1628.14,0.175,8.1255
2015-02-15,3545.134,2015,1,2,7,0,0.7466,0.6653,0.866,0.5,3378.582,10314.516,358.522,1827.276,18036.827,26800.975,2780.094,3969.72,4405.93,358.52,10314.52,11079.35,7965.18,12.0,71.0,532.95,0.0905,8.1736
2015-02-22,3253.514,2015,1,2,8,0,0.8211,0.5708,0.866,0.5,3545.134,3378.582,10314.516,358.522,12431.376,15052.979,227.236,4399.19,4206.71,358.52,10314.52,9141.37,6483.62,9.0,78.0,691.98,0.2095,8.0878
2015-03-01,3416.3554,2015,1,3,9,0,0.8837,0.468,1.0,0.0,3253.514,3545.134,3378.582,10314.516,13462.7946,13515.078,2480.663,5122.94,3463.11,3253.51,10314.52,8158.08,6399.77,9.0,40.0,1498.59,0.0182,8.1366
2015-03-08,7794.9169999999995,2015,1,3,10,0,0.9336,0.3584,1.0,0.0,3416.3554,3253.514,3545.134,3378.582,1708.984,16064.3225,3982.968,3398.4,120.05,3253.51,3545.13,7316.52,6294.41,11.0,73.0,103.04,0.1733,8.9614
2015-03-15,2729.488,2015,1,3,11,0,0.9698,0.2437,1.0,0.0,7794.9169999999995,3416.3554,3253.514,3545.134,1827.276,18036.827,4611.522,4502.48,2198.2,3253.51,7794.92,6627.4,5671.47,15.0,115.0,1138.62,0.1788,7.9122
2015-03-22,18231.9866,2015,1,3,12,0,0.9921,0.1254,1.0,0.0,2729.488,7794.9169999999995,3416.3554,3253.514,358.522,12431.376,38176.809,4298.57,2349.25,2729.49,7794.92,5351.79,4465.16,11.0,57.0,656.11,0.1625,9.811
2015-03-29,7555.746,2015,1,3,13,0,1.0,0.0053,1.0,0.0,18231.9866,2729.488,7794.9169999999995,3416.3554,10314.516,13462.7946,4554.623,8043.19,7153.47,2729.49,18231.99,5835.17,5496.19,24.0,179.0,6501.08,0.1238,8.9302
2015-04-05,5529.816,2015,2,4,14,0,0.9934,-0.1148,0.866,-0.5,7555.746,18231.9866,2729.488,7794.9169999999995,3378.582,1708.984,11193.08,9078.03,6533.57,2729.49,18231.99,5342.92,4992.37,20.0,116.0,1455.68,0.069,8.6181
2015-04-12,3344.06,2015,2,4,15,0,0.9724,-0.2333,0.866,-0.5,5529.816,7555.746,18231.9866,2729.488,3545.134,1827.276,7445.859,8511.76,6775.53,2729.49,18231.99,5661.32,4859.61,15.0,124.0,72.73,0.25,8.1152
2015-04-19,12471.884,2015,2,4,16,0,0.9373,-0.3484,0.866,-0.5,3344.06,5529.816,7555.746,18231.9866,3253.514,358.522,2810.244,8665.4,6605.54,3344.06,18231.99,5787.72,4769.72,14.0,89.0,-507.5,0.184,9.4313
2015-04-26,5277.7735,2015,2,4,17,0,0.8887,-0.4585,0.866,-0.5,12471.884,3344.06,5529.816,7555.746,3416.3554,10314.516,4128.282,7225.38,3897.63,3344.06,12471.88,6797.17,4797.97,23.0,192.0,1116.13,0.1741,8.5714
2015-05-03,11160.547,2015,2,5,18,0,0.8272,-0.562,0.5,-0.866,5277.7735,12471.884,3344.06,5529.816,7794.9169999999995,3378.582,5162.244,6655.88,3998.39,3344.06,12471.88,6377.44,4681.19,15.0,86.0,751.7,0.1121,9.3202
2015-05-10,5612.204,2015,2,5,19,0,0.7537,-0.6573,0.5,-0.866,11160.547,5277.7735,12471.884,3344.06,2729.488,3545.134,7787.834,8063.57,4436.93,3344.06,12471.88,7025.94,4766.24,17.0,149.0,3060.86,0.1643,8.6329
2015-05-17,5092.2455,2015,2,5,20,0,0.6693,-0.743,0.5,-0.866,5612.204,11160.547,5277.7735,12471.884,18231.9866,3253.514,3274.016,8630.6,3719.69,5277.77,12471.88,7198.19,4665.29,14.0,81.0,1227.56,0.1455,8.5357
2015-05-24,6030.097,2015,2,5,21,0,0.5751,-0.818,0.5,-0.866,5092.2455,5612.204,11160.547,5277.7735,7555.746,3416.3554,5416.56,6785.69,2924.49,5092.25,11160.55,7351.42,4552.79,15.0,124.0,524.22,0.2117,8.7047
2015-05-31,10580.208,2015,2,5,22,0,0.4727,-0.8812,0.5,-0.866,6030.097,5092.2455,5612.204,11160.547,5529.816,7794.9169999999995,11592.213,6973.77,2817.42,5092.25,11160.55,7569.23,4407.62,11.0,90.0,575.63,0.2833,9.2668
2015-06-07,3619.474,2015,2,6,23,0,0.3634,-0.9316,0.0,-1.0,10580.208,6030.097,5092.2455,5612.204,3344.06,2729.488,6092.868,6828.69,2530.26,5092.25,10580.21,7801.34,4493.1,26.0,208.0,2001.92,0.113,8.1944
2015-06-14,6608.238,2015,2,6,24,0,0.2489,-0.9685,0.0,-1.0,3619.474,10580.208,6030.097,5092.2455,12471.884,18231.9866,7124.992,6330.51,3001.84,3619.47,10580.21,7875.5,4408.31,10.0,81.0,939.72,0.1263,8.7962
2015-06-21,7445.001,2015,2,6,25,0,0.1307,-0.9914,0.0,-1.0,6608.238,3619.474,10580.208,6030.097,5277.7735,7555.746,12233.9846,6709.5,2886.89,3619.47,10580.21,6906.86,2967.33,18.0,161.0,157.6,0.1889,8.9154
2015-06-28,6691.653,2015,2,6,26,0,0.0107,-0.9999,0.0,-1.0,7445.001,6608.238,3619.474,10580.208,11160.547,5529.816,3215.1389999999997,7063.23,2862.48,3619.47,10580.21,6897.63,2965.3,19.0,115.0,1892.25,0.2,8.8088
2015-07-05,4148.744,2015,3,7,27,0,-0.1095,-0.994,-0.5,-0.866,6691.653,7445.001,6608.238,3619.474,5612.204,3344.06,4150.192,6091.09,1690.18,3619.47,7445.0,6994.45,2935.39,17.0,121.0,258.78,0.1576,8.3308
2015-07-12,7025.851,2015,3,7,28,0,-0.2281,-0.9736,-0.5,-0.866,4148.744,6691.653,7445.001,6608.238,5092.2455,12471.884,5768.223,6223.41,1433.4,4148.74,7445.0,7061.51,2852.44,18.0,103.0,521.93,0.2031,8.8575
2015-07-19,7046.083,2015,3,7,29,0,-0.3434,-0.9392,-0.5,-0.866,7025.851,4148.744,6691.653,7445.001,6030.097,5277.7735,3322.256,6327.81,1485.05,4148.74,7445.0,6607.67,2291.45,17.0,172.0,1119.24,0.1907,8.8604
2015-07-26,6791.639,2015,3,7,30,0,-0.4538,-0.8911,-0.5,-0.866,7046.083,7025.851,4148.744,6691.653,10580.208,11160.547,19884.354,6228.08,1395.72,4148.74,7046.08,6755.03,2254.71,14.0,101.0,501.07,0.1712,8.8236
