Fold,Train Period,Train N,Val Period,Val N,Model,MAE,RMSE,MAPE,WAPE
1,2015-01-04 to 2015-05-10,19,2015-05-17 to 2015-09-06,17,Naive Baseline,2485.69,3675.06,36.73,35.39
1,2015-01-04 to 2015-05-10,19,2015-05-17 to 2015-09-06,17,Seasonal Naive Baseline,3259.99,4723.9,44.79,46.41
1,2015-01-04 to 2015-05-10,19,2015-05-17 to 2015-09-06,17,Ridge Regression,2436.78,2935.67,41.99,34.69
1,2015-01-04 to 2015-05-10,19,2015-05-17 to 2015-09-06,17,Random Forest,3519.67,3858.13,62.27,50.11
1,2015-01-04 to 2015-05-10,19,2015-05-17 to 2015-09-06,17,HistGradientBoosting,3537.35,3983.4,61.79,50.36
1,2015-01-04 to 2015-05-10,19,2015-05-17 to 2015-09-06,17,Gradient Boosting,5014.63,5850.11,91.95,71.39
2,2015-01-04 to 2015-09-06,36,2015-09-13 to 2016-01-03,17,Naive Baseline,6416.29,8574.75,63.62,45.05
2,2015-01-04 to 2015-09-06,36,2015-09-13 to 2016-01-03,17,Seasonal Naive Baseline,6482.57,7999.1,56.49,45.51
2,2015-01-04 to 2015-09-06,36,2015-09-13 to 2016-01-03,17,Ridge Regression,6848.93,8790.24,42.93,48.08
2,2015-01-04 to 2015-09-06,36,2015-09-13 to 2016-01-03,17,Random Forest,7601.87,9646.6,45.35,53.37
2,2015-01-04 to 2015-09-06,36,2015-09-13 to 2016-01-03,17,HistGradientBoosting,6977.21,8855.18,43.79,48.98
2,2015-01-04 to 2015-09-06,36,2015-09-13 to 2016-01-03,17,Gradient Boosting,7206.76,9064.41,46.12,50.6
3,2015-01-04 to 2016-01-03,53,2016-01-10 to 2016-05-01,17,Naive Baseline,5473.86,6847.38,100.18,71.58
3,2015-01-04 to 2016-01-03,53,2016-01-10 to 2016-05-01,17,Seasonal Naive Baseline,5271.92,7179.03,93.33,68.94
3,2015-01-04 to 2016-01-03,53,2016-01-10 to 2016-05-01,17,Ridge Regression,6138.16,7998.89,80.5,80.27
3,2015-01-04 to 2016-01-03,53,2016-01-10 to 2016-05-01,17,Random Forest,4061.9,5770.68,71.06,53.12
3,2015-01-04 to 2016-01-03,53,2016-01-10 to 2016-05-01,17,HistGradientBoosting,3525.65,5607.65,55.04,46.1
3,2015-01-04 to 2016-01-03,53,2016-01-10 to 2016-05-01,17,Gradient Boosting,3949.15,5714.22,63.7,51.64
4,2015-01-04 to 2016-05-01,70,2016-05-08 to 2016-08-28,17,Naive Baseline,5645.55,6553.44,74.13,58.21
4,2015-01-04 to 2016-05-01,70,2016-05-08 to 2016-08-28,17,Seasonal Naive Baseline,4187.12,5129.85,43.19,43.17
4,2015-01-04 to 2016-05-01,70,2016-05-08 to 2016-08-28,17,Ridge Regression,4870.1,6393.68,51.75,50.21
4,2015-01-04 to 2016-05-01,70,2016-05-08 to 2016-08-28,17,Random Forest,4002.06,5620.12,41.5,41.26
4,2015-01-04 to 2016-05-01,70,2016-05-08 to 2016-08-28,17,HistGradientBoosting,4652.67,6604.6,50.4,47.97
4,2015-01-04 to 2016-05-01,70,2016-05-08 to 2016-08-28,17,Gradient Boosting,4693.4,6545.69,49.23,48.39
5,2015-01-04 to 2016-08-28,87,2016-09-04 to 2016-12-25,17,Naive Baseline,6810.29,8105.18,45.48,37.8
5,2015-01-04 to 2016-08-28,87,2016-09-04 to 2016-12-25,17,Seasonal Naive Baseline,7510.66,9292.26,41.19,41.69
5,2015-01-04 to 2016-08-28,87,2016-09-04 to 2016-12-25,17,Ridge Regression,5360.18,6653.26,33.38,29.75
5,2015-01-04 to 2016-08-28,87,2016-09-04 to 2016-12-25,17,Random Forest,6798.79,8115.35,34.63,37.74
5,2015-01-04 to 2016-08-28,87,2016-09-04 to 2016-12-25,17,HistGradientBoosting,7063.27,8842.77,34.39,39.21
5,2015-01-04 to 2016-08-28,87,2016-09-04 to 2016-12-25,17,Gradient Boosting,7804.21,9676.51,38.56,43.32
