Date,Actual,Predicted,Residual,Absolute_Error,APE (%),Month,Quarter,Week,Sales_Tier
2017-01-01,7053.96,12228.22,-5174.26,5174.26,73.35,1,1,52,Low (<25th pct)
2017-01-08,8472.14,7777.24,694.89,694.89,8.2,1,1,1,Normal (25th-75th pct)
2017-01-15,8938.66,7052.54,1886.12,1886.12,21.1,1,1,2,Normal (25th-75th pct)
2017-01-22,15770.86,8170.7,7600.16,7600.16,48.19,1,1,3,Normal (25th-75th pct)
2017-01-29,5558.56,9123.03,-3564.47,3564.47,64.13,1,1,4,Low (<25th pct)
2017-02-05,7880.7,10896.65,-3015.95,3015.95,38.27,2,1,5,Normal (25th-75th pct)
2017-02-12,3146.74,9739.56,-6592.82,6592.82,209.51,2,1,6,Low (<25th pct)
2017-02-19,6962.61,8770.3,-1807.69,1807.69,25.96,2,1,7,Low (<25th pct)
2017-02-26,6042.81,12192.59,-6149.78,6149.78,101.77,2,1,8,Low (<25th pct)
2017-03-05,4936.69,14314.17,-9377.48,9377.48,189.95,3,1,9,Low (<25th pct)
2017-03-12,6078.67,15834.75,-9756.08,9756.08,160.5,3,1,10,Low (<25th pct)
2017-03-19,10592.1,14893.57,-4301.47,4301.47,40.61,3,1,11,Normal (25th-75th pct)
2017-03-26,27125.48,17626.14,9499.34,9499.34,35.02,3,1,12,High (>75th pct)
2017-04-02,16952.99,11168.89,5784.1,5784.1,34.12,4,2,13,Normal (25th-75th pct)
2017-04-09,10955.35,12612.93,-1657.58,1657.58,15.13,4,2,14,Normal (25th-75th pct)
2017-04-16,4420.52,11452.2,-7031.68,7031.68,159.07,4,2,15,Low (<25th pct)
2017-04-23,8866.18,12060.46,-3194.28,3194.28,36.03,4,2,16,Normal (25th-75th pct)
2017-04-30,5483.54,14266.15,-8782.61,8782.61,160.16,4,2,17,Low (<25th pct)
2017-05-07,13201.19,14702.89,-1501.69,1501.69,11.38,5,2,18,Normal (25th-75th pct)
2017-05-14,13405.07,13814.65,-409.58,409.58,3.06,5,2,19,Normal (25th-75th pct)
2017-05-21,10927.58,11967.68,-1040.1,1040.1,9.52,5,2,20,Normal (25th-75th pct)
2017-05-28,5299.28,14476.81,-9177.54,9177.54,173.18,5,2,21,Low (<25th pct)
2017-06-04,9853.52,12584.95,-2731.44,2731.44,27.72,6,2,22,Normal (25th-75th pct)
2017-06-11,7782.87,14732.47,-6949.6,6949.6,89.29,6,2,23,Normal (25th-75th pct)
2017-06-18,14545.52,13048.76,1496.76,1496.76,10.29,6,2,24,Normal (25th-75th pct)
2017-06-25,7114.81,14926.92,-7812.11,7812.11,109.8,6,2,25,Low (<25th pct)
2017-07-02,15922.03,12532.34,3389.7,3389.7,21.29,7,3,26,Normal (25th-75th pct)
2017-07-09,13091.86,12857.61,234.26,234.26,1.79,7,3,27,Normal (25th-75th pct)
2017-07-16,8644.26,13117.53,-4473.27,4473.27,51.75,7,3,28,Normal (25th-75th pct)
2017-07-23,11722.32,12878.98,-1156.66,1156.66,9.87,7,3,29,Normal (25th-75th pct)
2017-07-30,9438.92,14878.36,-5439.44,5439.44,57.63,7,3,30,Normal (25th-75th pct)
2017-08-06,6122.8,12118.57,-5995.78,5995.78,97.93,8,3,31,Low (<25th pct)
2017-08-13,12347.67,12717.7,-370.04,370.04,3.0,8,3,32,Normal (25th-75th pct)
2017-08-20,20272.34,14299.4,5972.94,5972.94,29.46,8,3,33,High (>75th pct)
2017-08-27,21094.18,11862.99,9231.19,9231.19,43.76,8,3,34,High (>75th pct)
2017-09-03,17054.44,17771.2,-716.75,716.75,4.2,9,3,35,Normal (25th-75th pct)
2017-09-10,18582.84,19472.19,-889.34,889.34,4.79,9,3,36,Normal (25th-75th pct)
2017-09-17,23552.72,22207.69,1345.04,1345.04,5.71,9,3,37,High (>75th pct)
2017-09-24,27575.67,20527.27,7048.4,7048.4,25.56,9,3,38,High (>75th pct)
2017-10-01,8921.37,22732.82,-13811.45,13811.45,154.81,10,4,39,Normal (25th-75th pct)
2017-10-08,19484.32,16499.44,2984.88,2984.88,15.32,10,4,40,Normal (25th-75th pct)
2017-10-15,16929.38,17320.75,-391.38,391.38,2.31,10,4,41,Normal (25th-75th pct)
2017-10-22,27411.76,16957.13,10454.63,10454.63,38.14,10,4,42,High (>75th pct)
2017-10-29,6423.35,17226.65,-10803.3,10803.3,168.19,10,4,43,Low (<25th pct)
2017-11-05,31325.57,18062.32,13263.26,13263.26,42.34,11,4,44,High (>75th pct)
2017-11-12,20571.87,23292.94,-2721.07,2721.07,13.23,11,4,45,High (>75th pct)
2017-11-19,35344.42,19618.78,15725.64,15725.64,44.49,11,4,46,High (>75th pct)
2017-11-26,20087.25,23068.02,-2980.77,2980.77,14.84,11,4,47,High (>75th pct)
2017-12-03,32354.57,22537.88,9816.69,9816.69,30.34,12,4,48,High (>75th pct)
2017-12-10,24006.96,26186.39,-2179.43,2179.43,9.08,12,4,49,High (>75th pct)
2017-12-17,10495.96,24218.33,-13722.36,13722.36,130.74,12,4,50,Normal (25th-75th pct)
2017-12-24,23662.36,22608.51,1053.85,1053.85,4.45,12,4,51,High (>75th pct)
2017-12-31,8977.83,20849.17,-11871.34,11871.34,132.23,12,4,52,Normal (25th-75th pct)
