date,predicted_sales
2017-01-01,9310.89
2017-01-08,8646.3
2017-01-15,7154.21
2017-01-22,9091.06
2017-01-29,7530.43
2017-02-05,8978.61
2017-02-12,7083.63
2017-02-19,7674.41
2017-02-26,8350.59
2017-03-05,10880.99
2017-03-12,10989.84
2017-03-19,12429.7
2017-03-26,17986.04
2017-04-02,10858.24
2017-04-09,12873.48
2017-04-16,7311.22
2017-04-23,11736.13
2017-04-30,12566.25
2017-05-07,13145.82
2017-05-14,11339.99
2017-05-21,10301.68
2017-05-28,10622.96
2017-06-04,10098.94
2017-06-11,11471.85
2017-06-18,10514.13
2017-06-25,12847.45
2017-07-02,13344.5
2017-07-09,10799.16
2017-07-16,14112.26
2017-07-23,11469.07
2017-07-30,13425.89
2017-08-06,12151.33
2017-08-13,11810.19
2017-08-20,13760.79
2017-08-27,12905.81
2017-09-03,17892.17
2017-09-10,17760.46
2017-09-17,20343.67
2017-09-24,19179.45
2017-10-01,20506.72
2017-10-08,17544.4
2017-10-15,15688.6
2017-10-22,19413.15
2017-10-29,17247.5
2017-11-05,20859.8
2017-11-12,20035.69
2017-11-19,24527.92
2017-11-26,20580.52
2017-12-03,23424.69
2017-12-10,21607.3
2017-12-17,23139.82
2017-12-24,20282.67
2017-12-31,19553.26
