Feature,RandomForest_Importance,GradientBoosting_Importance,Mean_Importance
orders_lag_1,0.2221,0.1807,0.2014
quantity_lag_1,0.1252,0.1,0.1126
month,0.0838,0.1044,0.0941
week_of_year,0.0544,0.0852,0.0698
sales_lag_52,0.0925,0.0384,0.0654
sales_lag_8,0.048,0.059,0.0535
sales_rolling_mean_12,0.0261,0.0623,0.0442
is_q4,0.0197,0.0562,0.038
profit_lag_1,0.0285,0.0432,0.0358
avg_discount_lag_1,0.0402,0.0298,0.035
sales_rolling_mean_4,0.0233,0.0362,0.0298
sales_lag_1,0.0202,0.0356,0.0279
sales_lag_3,0.0343,0.02,0.0272
sales_lag_4,0.0292,0.025,0.0271
sales_rolling_std_4,0.0209,0.0236,0.0222
sales_lag_2,0.0283,0.0122,0.0202
sales_lag_12,0.0203,0.0197,0.02
sales_rolling_min_4,0.0148,0.0111,0.013
sin_week,0.0121,0.011,0.0116
year,0.0066,0.0152,0.0109
sales_rolling_std_12,0.0118,0.0085,0.0102
sin_month,0.0103,0.0079,0.0091
sales_rolling_max_4,0.0123,0.0055,0.0089
cos_week,0.0115,0.0061,0.0088
cos_month,0.0027,0.0029,0.0028
quarter,0.001,0.0006,0.0008
